fips_cntry,sat,year,count,sum,mean,stddev,min,max
TU,f10,1993,273753,2084057,7.6129101781533,7.96074252120307,3,63
TV,f10,1993,0,0,0,0,0,0
TX,f10,1993,32175,272431,8.46716394716395,7.6759284457706,3,62
TZ,f10,1993,5860,57007,9.72815699658703,10.5708075230165,3,63
UC,f10,1993,501,11458,22.8702594810379,21.9253208492794,3,63
UG,f10,1993,1927,19780,10.2646600934094,11.1302852754361,3,63
UK,f10,1993,318098,6258107,19.6735188526806,17.2084974237825,4,63
UP,f10,1993,479392,4100003,8.55250609104866,7.83912531202483,3,63
US,f10,1993,4390155,61091535,13.9155758737448,14.8466648028953,2,63
UV,f10,1993,1494,15850,10.6091030789826,11.8948346983929,3,63
UY,f10,1993,13722,143689,10.4714327357528,12.7507906812125,3,63
UZ,f10,1993,96316,1144629,11.8841002533328,10.2004786883381,3,63
VC,f10,1993,383,2578,6.73107049608355,6.68174322970582,3,41
VE,f10,1993,128426,1439247,11.2068194913803,12.9443432391102,2,63
VI,f10,1993,136,1611,11.8455882352941,9.75499772098037,3,45
VN,f10,1993,36517,210529,5.76523263137717,5.47989561443861,3,63
VQ,f10,1993,436,14381,32.9839449541284,20.8315044367393,3,63
VT,f10,1993,0,0,0,0,0,0
WA,f10,1993,5341,42957,8.04287586594271,10.2218893275269,2,63
